Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,12/31/2005,23:32:29,茨城県南部,35°55.6'N,140°08.1'E,61,4.1,震度２
地震リスト (1).csv,12/31/2005,22:26:43,大分県西部,33°07.5'N,131°23.9'E,123,4.5,震度２
地震リスト (1).csv,12/30/2005,17:06:30,神奈川県西部,35°10.5'N,139°06.5'E,10,2.3,震度１
地震リスト (1).csv,12/30/2005,15:18:33,島根県東部,35°18.3'N,133°18.7'E,9,2.7,震度２
地震リスト (1).csv,12/29/2005,20:23:31,岩手県沿岸北部,39°45.5'N,141°50.0'E,58,4.0,震度２
地震リスト (1).csv,12/29/2005,0:41:52,根室半島南東沖,43°05.6'N,145°33.0'E,48,4.5,震度２
地震リスト (1).csv,12/28/2005,23:03:36,千葉県北西部,35°40.1'N,140°12.2'E,67,4.4,震度２
地震リスト (1).csv,12/28/2005,22:35:35,千葉県北西部,35°39.9'N,140°11.3'E,66,4.1,震度１
地震リスト (1).csv,12/28/2005,22:11:28,茨城県南部,36°11.3'N,140°01.3'E,53,3.4,震度１
地震リスト (1).csv,12/28/2005,20:05:16,熊本県熊本地方,32°49.6'N,130°52.2'E,11,2.3,震度１
地震リスト (1).csv,12/28/2005,18:46:06,茨城県南部,36°10.9'N,140°01.6'E,53,4.8,震度４
地震リスト (1).csv,12/28/2005,14:52:16,愛知県西部,35°10.9'N,136°42.6'E,13,3.8,震度２
地震リスト (1).csv,12/28/2005,11:18:43,三重県中部,34°36.4'N,136°09.9'E,51,3.7,震度３
地震リスト (1).csv,12/28/2005,0:25:25,和歌山県北部,34°12.9'N,135°11.9'E,4,2.0,震度１
地震リスト (1).csv,12/27/2005,22:38:50,奄美大島近海,28°05.7'N,129°24.7'E,32,3.3,震度１
地震リスト (1).csv,12/27/2005,18:09:04,福井県嶺北,35°56.0'N,136°37.0'E,9,2.9,震度１
地震リスト (1).csv,12/27/2005,12:57:27,浦河沖,41°47.0'N,142°43.5'E,61,3.9,震度１
地震リスト (1).csv,12/27/2005,9:54:51,福島県浜通り,37°02.9'N,140°47.9'E,97,3.3,震度１
地震リスト (1).csv,12/26/2005,22:48:00,小笠原諸島西方沖,26°47.8'N,140°53.8'E,0,5.6,震度１
地震リスト (1).csv,12/26/2005,22:41:11,佐渡付近,38°06.1'N,138°14.5'E,12,3.1,震度１
地震リスト (1).csv,12/26/2005,1:55:31,東京湾,35°36.9'N,140°01.3'E,70,3.6,震度１
地震リスト (1).csv,12/25/2005,23:08:37,新潟県下越沖,38°10.4'N,138°51.0'E,23,4.2,震度２
地震リスト (1).csv,12/25/2005,20:06:54,千葉県東方沖,35°48.6'N,141°09.2'E,34,4.3,震度２
地震リスト (1).csv,12/25/2005,19:18:01,山口県北部,34°19.7'N,131°33.2'E,19,2.9,震度１
地震リスト (1).csv,12/24/2005,21:20:13,佐渡付近,38°04.5'N,138°36.3'E,16,4.4,震度２
地震リスト (1).csv,12/24/2005,11:01:55,愛知県西部,35°13.8'N,136°50.4'E,43,4.8,震度４
地震リスト (1).csv,12/24/2005,10:15:42,新潟県下越沖,38°10.7'N,138°51.0'E,23,3.9,震度１
地震リスト (1).csv,12/24/2005,0:50:42,根室半島南東沖,43°13.8'N,145°43.6'E,94,3.9,震度２
地震リスト (1).csv,12/23/2005,23:48:16,苫小牧沖,41°39.8'N,141°29.5'E,125,3.8,震度１
地震リスト (1).csv,12/23/2005,20:32:26,宮城県沖,37°49.2'N,141°56.2'E,75,3.9,震度１
地震リスト (1).csv,12/23/2005,13:43:18,宮城県沖,38°51.4'N,141°36.8'E,72,2.9,震度１
地震リスト (1).csv,12/22/2005,5:46:57,釧路地方中南部,43°04.2'N,143°51.3'E,114,4.3,震度２
地震リスト (1).csv,12/22/2005,0:07:24,三重県北部,34°52.4'N,136°28.6'E,42,3.5,震度１
地震リスト (1).csv,12/21/2005,21:41:41,和歌山県南部,33°46.2'N,135°49.0'E,25,3.3,震度２
地震リスト (1).csv,12/21/2005,7:58:01,三陸沖,38°00.6'N,143°22.5'E,44,5.1,震度１
地震リスト (1).csv,12/20/2005,18:59:12,新潟県中越地方,37°12.7'N,138°35.7'E,13,3.0,震度３
地震リスト (1).csv,12/20/2005,14:34:42,伊勢湾,34°37.9'N,136°39.3'E,366,5.1,震度１
地震リスト (1).csv,12/20/2005,10:24:38,新潟県中越地方,37°09.7'N,138°49.4'E,7,2.7,震度１
地震リスト (1).csv,12/20/2005,5:57:03,和歌山県北部,34°02.2'N,135°15.8'E,5,2.2,震度１
地震リスト (1).csv,12/20/2005,5:30:50,種子島近海,30°23.3'N,130°59.0'E,11,3.6,震度２
地震リスト (1).csv,12/19/2005,21:25:42,島根県東部,35°07.5'N,132°42.9'E,10,2.9,震度１
地震リスト (1).csv,12/19/2005,20:59:00,島根県東部,35°07.5'N,132°43.0'E,10,3.5,震度２
地震リスト (1).csv,12/19/2005,7:40:59,茨城県南部,36°11.8'N,140°05.8'E,56,3.4,震度１
地震リスト (1).csv,12/19/2005,4:07:56,島根県東部,35°10.8'N,133°06.8'E,5,2.8,震度２
地震リスト (1).csv,12/19/2005,0:13:23,長野県北部,36°52.7'N,138°26.3'E,10,3.1,震度１
地震リスト (1).csv,12/18/2005,16:46:42,福岡県北西沖,33°46.4'N,130°06.0'E,11,3.3,震度１
地震リスト (1).csv,12/18/2005,13:04:22,日向灘,32°29.1'N,132°01.3'E,30,3.3,震度１
地震リスト (1).csv,12/17/2005,23:27:33,周防灘,33°54.1'N,131°14.3'E,16,3.7,震度２
地震リスト (1).csv,12/17/2005,23:08:59,宮城県北部,38°52.5'N,141°34.9'E,75,3.8,震度２
地震リスト (1).csv,12/17/2005,9:22:40,薩摩半島西方沖,31°45.6'N,129°09.7'E,14,4.0,震度１
地震リスト (1).csv,12/17/2005,3:32:13,宮城県沖,38°26.9'N,142°10.8'E,40,6.1,震度４
地震リスト (1).csv,12/17/2005,3:27:36,熊本県熊本地方,32°45.8'N,130°44.1'E,9,2.0,震度１
地震リスト (1).csv,12/16/2005,12:37:30,新島・神津島近海,34°21.6'N,139°12.8'E,7,2.0,震度１
地震リスト (1).csv,12/16/2005,2:09:17,宮城県中部,38°23.7'N,141°09.2'E,11,2.0,震度１
地震リスト (1).csv,12/15/2005,16:41:38,奄美大島北東沖,29°25.1'N,129°59.2'E,53,4.8,震度３
地震リスト (1).csv,12/15/2005,7:36:17,奄美大島近海,28°24.8'N,129°21.7'E,10,2.8,震度１
地震リスト (1).csv,12/14/2005,0:17:19,岡山県南部,34°46.8'N,133°36.6'E,18,2.8,震度１
地震リスト (1).csv,12/13/2005,7:42:55,茨城県沖,36°36.5'N,141°00.0'E,47,3.5,震度１
地震リスト (1).csv,12/13/2005,6:01:37,北海道南西沖,43°12.5'N,139°24.8'E,29,5.5,震度３
地震リスト (1).csv,12/12/2005,22:08:46,千葉県北東部,35°21.9'N,140°13.6'E,38,3.5,震度１
地震リスト (1).csv,12/12/2005,18:37:27,浦河沖,42°00.5'N,142°35.2'E,62,3.8,震度１
地震リスト (1).csv,12/11/2005,14:48:00,新潟県中越地方,36°49.7'N,138°44.4'E,5,3.0,震度１
地震リスト (1).csv,12/11/2005,13:33:41,新潟県中越地方,36°49.6'N,138°44.2'E,5,3.6,震度２
地震リスト (1).csv,12/11/2005,3:57:07,和歌山県北部,34°02.3'N,135°16.0'E,4,2.3,震度１
地震リスト (1).csv,12/10/2005,18:32:09,日向灘,32°02.0'N,132°02.8'E,20,4.5,震度２
