Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,6/30/1993,18:02:51,静岡県中部,35°00.7'N,138°10.3'E,38,3.9,震度２
地震リスト (1).csv,6/30/1993,8:53:13,高知県東部,33°28.1'N,134°07.5'E,23,3.6,震度１
地震リスト (1).csv,6/29/1993,4:14:21,豊後水道,33°12.1'N,132°28.4'E,37,3.7,震度１
地震リスト (1).csv,6/29/1993,0:20:01,青森県西方沖,40°37.9'N,139°06.6'E,12,3.6,震度１
地震リスト (1).csv,6/28/1993,15:40:43,日高地方東部,42°14.8'N,143°07.0'E,64,3.9,震度１
地震リスト (1).csv,6/27/1993,23:09:55,十勝地方中部,42°56.0'N,143°23.7'E,101,3.3,震度１
地震リスト (1).csv,6/26/1993,12:49:46,茨城県南部,36°10.5'N,139°49.7'E,62,2.7,震度１
地震リスト (1).csv,6/25/1993,13:58:30,十勝沖,42°19.3'N,143°49.5'E,54,4.2,震度１
地震リスト (1).csv,6/24/1993,12:01:15,宮城県沖,38°41.4'N,142°01.9'E,57,4.2,震度２
地震リスト (1).csv,6/23/1993,13:48:29,千葉県東方沖,35°29.3'N,141°09.2'E,34,4.2,震度１
地震リスト (1).csv,6/23/1993,6:33:26,茨城県南部,36°18.8'N,140°05.3'E,73,3.4,震度１
地震リスト (1).csv,6/23/1993,3:13:36,大隅半島東方沖,31°20.1'N,131°47.7'E,29,4.5,震度１
地震リスト (1).csv,6/22/1993,17:37:37,青森県東方沖,41°29.2'N,142°00.7'E,64,4.8,震度２
地震リスト (1).csv,6/22/1993,17:36:41,島根県東部,35°23.0'N,133°18.9'E,12,3.0,震度１
地震リスト (1).csv,6/22/1993,6:45:47,根室半島南東沖,43°03.7'N,146°02.2'E,45,4.7,震度１
地震リスト (1).csv,6/21/1993,20:06:08,紀伊水道,34°12.7'N,135°08.4'E,6,2.7,震度２
地震リスト (1).csv,6/21/1993,13:29:57,西表島付近,24°19.5'N,123°46.9'E,9,1.8,震度１
地震リスト (1).csv,6/20/1993,22:54:00,詳細不明,28°23.0'N,129°30.0'E,0,不明,震度１
地震リスト (1).csv,6/20/1993,15:14:37,茨城県北部,36°27.8'N,140°36.5'E,58,3.1,震度１
地震リスト (1).csv,6/20/1993,0:00:44,茨城県南部,36°05.3'N,140°01.1'E,75,3.1,震度１
地震リスト (1).csv,6/19/1993,21:30:57,沖縄本島近海,27°31.7'N,128°31.2'E,24,3.4,震度１
地震リスト (1).csv,6/19/1993,11:32:31,茨城県沖,36°05.9'N,141°56.4'E,59,5.2,震度１
地震リスト (1).csv,6/17/1993,15:30:24,西表島付近,24°18.2'N,123°36.2'E,20,2.9,震度２
地震リスト (1).csv,6/17/1993,4:02:18,西表島付近,24°25.7'N,123°47.3'E,4,不明,震度１
地震リスト (1).csv,6/17/1993,2:03:37,岩手県沖,39°38.8'N,142°06.0'E,51,3.8,震度２
地震リスト (1).csv,6/16/1993,21:23:41,東京湾,35°15.6'N,139°48.2'E,95,3.8,震度１
地震リスト (1).csv,6/16/1993,8:10:11,静岡県伊豆地方,34°57.7'N,139°04.9'E,0,2.6,震度２
地震リスト (1).csv,6/15/1993,14:10:11,沖縄本島近海,25°05.5'N,127°49.1'E,91,4.9,震度１
地震リスト (1).csv,6/15/1993,13:42:53,関東東方沖,34°49.6'N,142°04.3'E,56,5.5,震度１
地震リスト (1).csv,6/15/1993,10:50:11,茨城県沖,36°47.8'N,140°53.1'E,88,3.8,震度１
地震リスト (1).csv,6/15/1993,0:40:03,茨城県南部,36°20.5'N,140°06.2'E,75,2.9,震度１
地震リスト (1).csv,6/14/1993,12:25:59,西表島付近,24°18.0'N,123°36.0'E,20,不明,震度２
