Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,12/31/1989,10:17:07,茨城県北部,36°27.6'N,140°36.4'E,52,3.1,震度１
地震リスト (1).csv,12/30/1989,22:12:50,青森県東方沖,41°04.8'N,142°23.1'E,52,4.6,震度２
地震リスト (1).csv,12/30/1989,14:16:53,渡島地方東部,42°07.6'N,140°41.7'E,4,3.4,震度３
地震リスト (1).csv,12/29/1989,13:00:44,三重県南部,34°02.9'N,136°10.0'E,2,不明,震度１
地震リスト (1).csv,12/29/1989,4:27:18,十勝沖,42°09.3'N,143°56.3'E,49,4.2,震度１
地震リスト (1).csv,12/28/1989,23:10:22,和歌山県北部,34°13.1'N,135°25.8'E,6,3.4,震度１
地震リスト (1).csv,12/25/1989,19:35:24,紀伊水道,34°08.8'N,135°03.5'E,9,4.2,震度２
地震リスト (1).csv,12/25/1989,17:47:22,茨城県沖,36°23.6'N,141°00.4'E,34,4.7,震度３
地震リスト (1).csv,12/25/1989,16:09:53,岩手県沖,40°07.5'N,142°26.0'E,26,4.0,震度１
地震リスト (1).csv,12/24/1989,18:52:35,長野県南部,35°17.6'N,137°45.2'E,12,2.3,震度１
地震リスト (1).csv,12/23/1989,20:02:45,茨城県北部,36°28.0'N,140°36.0'E,59,2.7,震度１
地震リスト (1).csv,12/23/1989,8:14:16,茨城県北部,36°16.2'N,140°29.7'E,57,3.4,震度１
地震リスト (1).csv,12/23/1989,1:11:00,詳細不明,27°05.0'N,142°12.0'E,0,不明,震度１
地震リスト (1).csv,12/22/1989,16:04:49,宮城県沖,38°17.2'N,141°57.8'E,51,4.3,震度３
地震リスト (1).csv,12/22/1989,9:32:50,茨城県沖,36°25.7'N,141°07.0'E,40,5.0,震度３
地震リスト (1).csv,12/22/1989,3:57:24,長崎県島原半島,32°42.2'N,130°15.6'E,1,不明,震度１
地震リスト (1).csv,12/22/1989,1:49:16,択捉島南東沖,44°25.0'N,149°57.2'E,5,6.0,震度１
地震リスト (1).csv,12/21/1989,2:16:52,父島近海,26°30.7'N,141°55.4'E,143,3.7,震度１
地震リスト (1).csv,12/21/1989,1:12:38,青森県東方沖,41°21.0'N,142°15.7'E,49,4.7,震度２
地震リスト (1).csv,12/20/1989,23:32:10,埼玉県南部,35°57.1'N,139°34.6'E,55,4.2,震度２
地震リスト (1).csv,12/20/1989,19:33:32,宮崎県南部山沿い,31°56.1'N,131°07.8'E,13,4.0,震度１
地震リスト (1).csv,12/20/1989,18:04:13,岩手県沖,40°06.8'N,142°30.2'E,30,4.9,震度１
地震リスト (1).csv,12/20/1989,14:25:25,福島県沖,37°29.3'N,142°03.1'E,43,4.2,震度１
地震リスト (1).csv,12/19/1989,22:59:41,宮古島近海,24°48.1'N,125°03.6'E,36,2.8,震度１
地震リスト (1).csv,12/19/1989,18:34:39,宮城県沖,38°55.6'N,142°05.9'E,48,3.5,震度２
地震リスト (1).csv,12/19/1989,7:34:17,北海道東方沖,43°35.3'N,146°27.8'E,57,5.0,震度２
地震リスト (1).csv,12/18/1989,7:23:20,茨城県沖,36°47.2'N,140°57.8'E,69,3.0,震度１
地震リスト (1).csv,12/17/1989,18:54:40,四国沖,32°41.1'N,132°40.1'E,38,4.8,震度３
地震リスト (1).csv,12/17/1989,17:58:18,北海道東方沖,43°42.7'N,146°51.1'E,104,4.7,震度１
地震リスト (1).csv,12/17/1989,17:11:05,三陸沖,39°32.9'N,143°39.8'E,0,5.4,震度２
地震リスト (1).csv,12/17/1989,8:25:35,三陸沖,40°03.8'N,143°32.1'E,0,5.8,震度２
地震リスト (1).csv,12/17/1989,7:40:37,沖縄本島近海,25°57.5'N,128°35.5'E,57,4.9,震度１
地震リスト (1).csv,12/16/1989,21:46:38,三陸沖,39°41.1'N,143°52.4'E,11,5.2,震度１
地震リスト (1).csv,12/16/1989,19:45:43,佐渡付近,38°38.5'N,138°29.7'E,28,4.9,震度２
地震リスト (1).csv,12/15/1989,14:57:24,和歌山県北部,34°13.5'N,135°12.5'E,4,2.6,震度２
地震リスト (1).csv,12/15/1989,9:15:00,詳細不明,28°23.0'N,129°30.0'E,0,不明,震度１
地震リスト (1).csv,12/15/1989,8:31:11,天草灘,32°21.6'N,129°39.8'E,2,3.5,震度１
地震リスト (1).csv,12/15/1989,7:26:00,詳細不明,35°26.0'N,133°20.0'E,0,不明,震度１
地震リスト (1).csv,12/14/1989,13:25:03,茨城県沖,36°27.3'N,141°16.0'E,43,4.6,震度３
地震リスト (1).csv,12/12/1989,21:21:06,埼玉県南部,35°54.8'N,139°11.0'E,16,2.7,震度２
地震リスト (1).csv,12/12/1989,17:47:25,橘湾,32°44.3'N,130°08.3'E,9,2.9,震度２
地震リスト (1).csv,12/12/1989,10:54:58,岩手県内陸南部,39°33.6'N,141°29.8'E,72,3.6,震度２
地震リスト (1).csv,12/11/1989,10:35:32,紀伊水道,34°11.3'N,135°06.4'E,8,2.4,震度１
地震リスト (1).csv,12/9/1989,2:23:31,茨城県沖,36°35.9'N,141°04.3'E,46,5.6,震度４
地震リスト (1).csv,12/8/1989,21:12:57,八丈島東方沖,32°19.2'N,141°15.7'E,51,5.4,震度１
地震リスト (1).csv,12/7/1989,17:27:28,埼玉県南部,35°56.4'N,139°34.8'E,56,4.4,震度１
