Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,12/31/2002,20:31:57,宮城県北部,38°43.8'N,141°09.2'E,5,2.9,震度１
地震リスト (1).csv,12/31/2002,19:11:18,福島県沖,37°04.0'N,141°29.3'E,47,4.4,震度２
地震リスト (1).csv,12/30/2002,20:21:30,十勝沖,42°30.9'N,143°28.0'E,59,3.6,震度１
地震リスト (1).csv,12/30/2002,19:29:05,安芸灘,34°03.7'N,132°43.5'E,43,3.3,震度１
地震リスト (1).csv,12/30/2002,16:40:27,秋田県沿岸南部,39°18.4'N,140°08.0'E,13,3.0,震度１
地震リスト (1).csv,12/30/2002,12:08:20,神奈川県西部,35°12.7'N,139°01.0'E,0,2.8,震度２
地震リスト (1).csv,12/29/2002,18:20:52,新潟県下越沖,38°25.6'N,139°15.8'E,12,3.5,震度１
地震リスト (1).csv,12/29/2002,4:23:57,十勝沖,42°23.7'N,143°27.7'E,53,3.9,震度１
地震リスト (1).csv,12/29/2002,3:38:19,奄美大島近海,28°47.3'N,129°23.5'E,4,4.8,震度２
地震リスト (1).csv,12/29/2002,0:38:37,石垣島北西沖,25°09.1'N,123°51.5'E,126,4.0,震度１
地震リスト (1).csv,12/28/2002,22:52:10,大分県中部,33°17.4'N,131°27.8'E,9,2.6,震度２
地震リスト (1).csv,12/28/2002,16:01:39,和歌山県南部,33°49.0'N,135°51.5'E,50,2.9,震度１
地震リスト (1).csv,12/28/2002,13:06:05,奄美大島近海,28°21.2'N,129°20.5'E,19,3.5,震度２
地震リスト (1).csv,12/27/2002,7:51:57,熊本県熊本地方,32°32.1'N,130°42.1'E,10,2.8,震度１
地震リスト (1).csv,12/26/2002,9:43:50,奄美大島近海,28°47.3'N,129°23.7'E,3,4.5,震度２
地震リスト (1).csv,12/26/2002,4:31:38,奄美大島近海,28°47.4'N,129°23.4'E,3,4.4,震度１
地震リスト (1).csv,12/26/2002,1:31:30,熊本県熊本地方,32°56.4'N,130°55.1'E,11,2.2,震度１
地震リスト (1).csv,12/25/2002,2:55:45,宮城県沖,38°28.9'N,141°59.5'E,80,3.4,震度１
地震リスト (1).csv,12/24/2002,7:33:51,新島・神津島近海,34°14.7'N,139°10.8'E,12,2.6,震度１
地震リスト (1).csv,12/23/2002,5:31:48,茨城県南部,36°12.2'N,139°59.0'E,55,4.2,震度３
地震リスト (1).csv,12/22/2002,22:14:58,栃木県北部,36°44.9'N,139°40.8'E,2,1.4,震度１
地震リスト (1).csv,12/22/2002,18:36:38,長野県南部,35°52.5'N,137°35.1'E,7,2.7,震度２
地震リスト (1).csv,12/22/2002,15:55:18,トカラ列島近海,29°45.7'N,129°54.0'E,3,2.3,震度１
地震リスト (1).csv,12/21/2002,16:04:51,有明海,32°55.4'N,130°20.8'E,14,3.2,震度２
地震リスト (1).csv,12/21/2002,11:38:16,長野県南部,35°52.5'N,137°35.1'E,7,3.1,震度２
地震リスト (1).csv,12/21/2002,3:03:38,千葉県北西部,35°40.1'N,140°02.5'E,72,3.5,震度１
地震リスト (1).csv,12/20/2002,3:48:58,安芸灘,33°58.5'N,132°43.8'E,46,3.5,震度２
地震リスト (1).csv,12/20/2002,1:23:31,宮古島近海,24°48.3'N,125°24.0'E,50,4.4,震度２
地震リスト (1).csv,12/20/2002,1:08:14,和歌山県北部,34°02.0'N,135°16.2'E,5,3.3,震度１
地震リスト (1).csv,12/19/2002,21:19:18,青森県東方沖,40°53.3'N,143°07.6'E,14,4.8,震度２
地震リスト (1).csv,12/19/2002,17:06:53,沖縄本島近海,25°56.9'N,126°09.6'E,36,4.4,震度１
地震リスト (1).csv,12/19/2002,13:18:48,熊本県熊本地方,32°33.8'N,130°39.8'E,6,2.5,震度１
地震リスト (1).csv,12/19/2002,13:18:07,熊本県熊本地方,32°33.9'N,130°39.7'E,8,3.0,震度２
地震リスト (1).csv,12/18/2002,19:20:22,和歌山県北部,34°13.7'N,135°14.4'E,4,2.7,震度１
地震リスト (1).csv,12/18/2002,5:12:33,兵庫県南東部,34°51.9'N,135°24.7'E,10,3.1,震度１
地震リスト (1).csv,12/18/2002,0:48:31,岩手県沖,40°06.9'N,142°27.0'E,35,4.2,震度２
地震リスト (1).csv,12/17/2002,7:17:13,和歌山県南部,33°32.0'N,135°35.9'E,11,4.4,震度２
地震リスト (1).csv,12/15/2002,20:30:45,福島県沖,37°37.7'N,141°38.2'E,78,3.8,震度１
地震リスト (1).csv,12/15/2002,13:37:33,和歌山県北部,34°13.8'N,135°10.1'E,7,2.5,震度１
地震リスト (1).csv,12/15/2002,10:13:27,青森県東方沖,40°54.4'N,142°09.8'E,51,3.8,震度１
地震リスト (1).csv,12/15/2002,4:04:55,岩手県内陸北部,40°04.6'N,141°22.4'E,12,3.1,震度１
地震リスト (1).csv,12/14/2002,5:15:25,茨城県沖,36°44.3'N,141°22.3'E,47,4.2,震度２
地震リスト (1).csv,12/14/2002,4:38:12,茨城県沖,36°44.3'N,141°22.1'E,47,4.2,震度２
地震リスト (1).csv,12/13/2002,23:25:17,岩手県内陸南部,38°59.2'N,140°56.9'E,7,3.1,震度１
地震リスト (1).csv,12/13/2002,19:57:08,十勝地方南部,42°20.7'N,143°09.7'E,47,3.9,震度１
地震リスト (1).csv,12/13/2002,7:46:25,鳥取県西部,35°19.1'N,133°19.1'E,8,2.2,震度１
地震リスト (1).csv,12/12/2002,20:33:08,トカラ列島近海,29°46.4'N,129°51.7'E,7,2.6,震度２
地震リスト (1).csv,12/12/2002,19:57:07,トカラ列島近海,29°47.3'N,129°51.9'E,7,2.9,震度２
地震リスト (1).csv,12/12/2002,0:34:31,奈良県,34°03.5'N,135°38.9'E,51,3.0,震度２
地震リスト (1).csv,12/11/2002,20:54:22,岩手県沖,40°09.5'N,142°28.0'E,34,4.2,震度１
地震リスト (1).csv,12/11/2002,13:56:15,西表島付近,24°15.4'N,123°37.1'E,19,3.9,震度１
地震リスト (1).csv,12/10/2002,20:25:08,釧路沖,42°19.9'N,144°40.3'E,35,4.8,震度２
地震リスト (1).csv,12/9/2002,20:14:35,山形県村山地方,38°14.6'N,140°23.0'E,8,2.5,震度１
地震リスト (1).csv,12/9/2002,19:34:18,奄美大島近海,28°24.9'N,130°16.2'E,30,3.5,震度１
地震リスト (1).csv,12/9/2002,19:26:52,奄美大島近海,28°22.8'N,130°16.3'E,32,4.3,震度２
地震リスト (1).csv,12/9/2002,3:34:07,福島県沖,37°37.6'N,141°39.4'E,78,4.3,震度２
地震リスト (1).csv,12/8/2002,17:15:56,西表島付近,24°15.5'N,123°37.5'E,19,4.1,震度１
地震リスト (1).csv,12/8/2002,2:27:17,奄美大島近海,28°23.7'N,130°15.7'E,31,4.0,震度２
地震リスト (1).csv,12/7/2002,22:38:18,青森県東方沖,40°37.1'N,142°03.6'E,41,3.8,震度１
地震リスト (1).csv,12/7/2002,22:15:04,静岡県中部,34°58.6'N,138°22.2'E,24,3.3,震度１
地震リスト (1).csv,12/7/2002,8:50:03,奄美大島近海,28°24.1'N,130°15.9'E,32,5.1,震度３
地震リスト (1).csv,12/6/2002,18:57:59,釧路沖,42°48.3'N,144°47.4'E,53,3.5,震度１
地震リスト (1).csv,12/6/2002,12:16:21,千葉県北西部,35°41.3'N,140°02.2'E,72,3.5,震度１
地震リスト (1).csv,12/5/2002,16:46:27,熊本県熊本地方,32°51.1'N,130°39.6'E,9,2.0,震度１
地震リスト (1).csv,12/5/2002,9:10:07,西表島付近,24°14.8'N,123°37.4'E,18,3.4,震度１
地震リスト (1).csv,12/5/2002,6:09:24,岐阜県美濃中西部,35°44.7'N,137°07.1'E,12,3.2,震度１
地震リスト (1).csv,12/5/2002,5:22:44,茨城県南部,36°16.5'N,140°03.0'E,57,2.8,震度１
地震リスト (1).csv,12/5/2002,2:17:08,福島県沖,37°04.6'N,141°11.7'E,50,4.2,震度２
地震リスト (1).csv,12/5/2002,0:53:02,宮城県沖,38°43.1'N,142°15.7'E,37,4.9,震度３
地震リスト (1).csv,12/5/2002,0:50:42,宮城県沖,38°42.6'N,142°19.0'E,40,5.3,震度３
地震リスト (1).csv,12/4/2002,23:37:38,西表島付近,24°15.0'N,123°37.4'E,16,4.6,震度２
地震リスト (1).csv,12/4/2002,19:48:49,石垣島近海,24°50.5'N,123°43.3'E,85,4.8,震度２
地震リスト (1).csv,12/4/2002,14:17:06,十勝沖,41°45.0'N,143°31.1'E,34,4.7,震度２
地震リスト (1).csv,12/4/2002,8:09:35,長野県南部,35°52.2'N,137°35.6'E,8,4.5,震度４
地震リスト (1).csv,12/3/2002,3:29:53,福岡県北西沖,33°41.0'N,129°59.0'E,9,3.6,震度１
地震リスト (1).csv,12/2/2002,8:02:30,宮城県沖,38°40.0'N,141°52.8'E,54,4.3,震度３
地震リスト (1).csv,12/1/2002,23:37:56,千葉県南部,34°57.2'N,139°48.8'E,56,3.4,震度２
地震リスト (1).csv,12/1/2002,22:27:59,東京都２３区,35°44.5'N,139°39.9'E,124,3.8,震度１
地震リスト (1).csv,12/1/2002,19:48:08,岩手県沿岸北部,39°45.2'N,141°50.5'E,57,3.6,震度２
地震リスト (1).csv,12/1/2002,18:57:01,十勝沖,42°39.7'N,143°57.9'E,103,5.5,震度３
地震リスト (1).csv,11/30/2002,22:51:05,与那国島近海,23°41.8'N,123°20.2'E,46,5.4,震度２
地震リスト (1).csv,11/30/2002,22:05:38,和歌山県北部,34°02.5'N,135°16.0'E,8,2.9,震度１
地震リスト (1).csv,11/30/2002,16:15:56,釧路沖,42°31.6'N,145°00.7'E,46,5.4,震度２
地震リスト (1).csv,11/29/2002,12:42:00,熊本県熊本地方,32°51.4'N,130°40.6'E,10,2.2,震度１
地震リスト (1).csv,11/29/2002,8:06:40,神奈川県西部,35°20.8'N,139°07.2'E,20,2.6,震度１
地震リスト (1).csv,11/28/2002,10:07:37,山形県最上地方,38°35.5'N,140°07.8'E,9,2.3,震度１
地震リスト (1).csv,11/27/2002,15:22:26,三河湾,34°41.5'N,137°09.9'E,30,3.3,震度１
地震リスト (1).csv,11/27/2002,0:40:20,八丈島東方沖,32°05.2'N,140°45.0'E,18,5.1,震度１
地震リスト (1).csv,11/26/2002,12:23:54,熊本県熊本地方,32°41.8'N,130°46.3'E,11,2.7,震度１
地震リスト (1).csv,11/26/2002,1:20:01,和歌山県北部,34°11.1'N,135°21.4'E,7,2.4,震度１
地震リスト (1).csv,11/25/2002,0:24:51,新潟県上越地方,36°55.6'N,138°15.0'E,0,1.9,震度２
地震リスト (1).csv,11/25/2002,0:08:56,西表島付近,24°28.6'N,123°45.0'E,14,2.9,震度１
地震リスト (1).csv,11/24/2002,14:07:56,奄美大島北東沖,29°14.9'N,130°33.9'E,74,5.0,震度２
地震リスト (1).csv,11/24/2002,5:14:40,岩手県沖,39°37.8'N,142°06.2'E,48,4.1,震度２
地震リスト (1).csv,11/23/2002,3:30:59,伊予灘,33°36.2'N,132°12.6'E,51,3.2,震度１
地震リスト (1).csv,11/23/2002,3:27:00,和歌山県南部,33°52.4'N,135°35.8'E,26,3.4,震度２
地震リスト (1).csv,11/23/2002,1:49:04,鳥取県西部,35°11.4'N,133°25.2'E,8,2.4,震度１
地震リスト (1).csv,11/22/2002,16:12:04,三河湾,34°48.7'N,137°13.4'E,38,3.1,震度１
地震リスト (1).csv,11/22/2002,13:24:26,山梨県東部・富士五湖,35°32.7'N,138°59.9'E,20,3.2,震度１
地震リスト (1).csv,11/21/2002,19:06:11,大分県中部,33°14.4'N,131°48.0'E,80,3.6,震度１
地震リスト (1).csv,11/21/2002,16:17:26,福井県嶺北,35°52.6'N,136°41.3'E,11,2.5,震度１
地震リスト (1).csv,11/20/2002,19:46:13,福島県会津,37°05.2'N,139°22.5'E,7,3.3,震度１
地震リスト (1).csv,11/20/2002,13:49:03,山形県村山地方,38°28.9'N,140°31.3'E,9,3.9,震度２
地震リスト (1).csv,11/20/2002,13:38:41,山形県村山地方,38°28.8'N,140°31.2'E,9,3.3,震度１
地震リスト (1).csv,11/20/2002,8:38:45,房総半島南方沖,33°53.4'N,140°20.1'E,42,3.8,震度１
地震リスト (1).csv,11/19/2002,18:38:28,滋賀県北部,35°27.2'N,136°18.1'E,13,3.5,震度２
地震リスト (1).csv,11/19/2002,18:36:16,滋賀県北部,35°27.2'N,136°18.3'E,14,3.9,震度２
地震リスト (1).csv,11/19/2002,16:37:38,有明海,32°55.4'N,130°21.0'E,14,2.5,震度１
地震リスト (1).csv,11/17/2002,20:56:37,石川県加賀地方,36°18.4'N,136°41.0'E,7,2.9,震度２
地震リスト (1).csv,11/17/2002,16:57:32,石川県加賀地方,36°18.4'N,136°40.7'E,7,3.0,震度２
地震リスト (1).csv,11/17/2002,13:53:56,オホーツク海南部,47°07.6'N,146°49.6'E,496,7.0,震度３
地震リスト (1).csv,11/17/2002,13:47:54,石川県加賀地方,36°18.1'N,136°40.4'E,8,4.7,震度４
地震リスト (1).csv,11/16/2002,23:11:10,石川県加賀地方,36°18.4'N,136°40.5'E,8,3.2,震度３
地震リスト (1).csv,11/16/2002,12:44:34,青森県東方沖,41°25.1'N,141°45.7'E,68,3.5,震度１
地震リスト (1).csv,11/16/2002,12:19:53,宮城県北部,38°42.7'N,141°07.6'E,7,3.9,震度３
地震リスト (1).csv,11/15/2002,9:08:17,石川県加賀地方,36°18.2'N,136°40.6'E,7,3.1,震度２
地震リスト (1).csv,11/15/2002,7:35:33,石川県加賀地方,36°18.4'N,136°40.6'E,7,2.5,震度１
地震リスト (1).csv,11/15/2002,7:29:05,石川県加賀地方,36°18.3'N,136°40.5'E,8,3.6,震度２
地震リスト (1).csv,11/14/2002,14:45:16,青森県東方沖,41°32.0'N,142°53.5'E,47,4.0,震度１
