Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,3/31/2010,15:57:34,青森県津軽北部,41°09.7'N,140°33.3'E,11,2.1,震度１
地震リスト (1).csv,3/31/2010,6:18:34,茨城県沖,36°25.3'N,140°38.7'E,55,4.6,震度４
地震リスト (1).csv,3/30/2010,10:30:54,千葉県北東部,35°27.2'N,140°24.1'E,28,2.6,震度１
地震リスト (1).csv,3/30/2010,10:02:51,北海道南西沖,43°11.5'N,138°34.7'E,25,5.8,震度３
地震リスト (1).csv,3/30/2010,4:44:56,愛知県東部,34°43.3'N,137°28.8'E,31,2.9,震度１
地震リスト (1).csv,3/29/2010,20:18:03,紀伊水道,34°11.9'N,135°09.7'E,6,3.6,震度３
地震リスト (1).csv,3/29/2010,10:29:26,茨城県南部,36°02.1'N,139°52.9'E,43,4.3,震度３
地震リスト (1).csv,3/29/2010,0:55:05,三宅島近海,33°58.4'N,139°23.0'E,11,2.5,震度１
地震リスト (1).csv,3/28/2010,20:17:26,三宅島近海,33°58.7'N,139°23.7'E,13,2.4,震度１
地震リスト (1).csv,3/28/2010,5:02:34,八丈島東方沖,33°30.3'N,140°55.4'E,50,4.7,震度２
地震リスト (1).csv,3/28/2010,3:40:06,広島県南東部,34°31.2'N,133°21.1'E,14,3.5,震度２
地震リスト (1).csv,3/28/2010,2:37:03,根室半島南東沖,43°12.4'N,145°33.3'E,55,3.4,震度１
地震リスト (1).csv,3/28/2010,1:07:27,宮城県南部,38°03.3'N,140°39.9'E,8,2.6,震度１
地震リスト (1).csv,3/27/2010,20:43:12,奄美大島近海,28°16.6'N,129°16.3'E,22,3.1,震度１
地震リスト (1).csv,3/27/2010,19:54:26,北海道東方沖,43°44.3'N,147°04.3'E,86,4.4,震度１
地震リスト (1).csv,3/27/2010,15:47:32,宮城県北部,38°43.0'N,141°21.3'E,74,3.3,震度１
地震リスト (1).csv,3/27/2010,10:29:16,和歌山県北部,34°02.2'N,135°16.1'E,5,2.5,震度２
地震リスト (1).csv,3/26/2010,3:04:30,茨城県南部,36°04.3'N,139°53.1'E,47,3.2,震度１
地震リスト (1).csv,3/25/2010,13:02:52,熊本県球磨地方,32°26.9'N,130°47.8'E,13,2.7,震度１
地震リスト (1).csv,3/25/2010,10:33:02,熊本県熊本地方,32°49.5'N,130°56.9'E,5,2.7,震度２
地震リスト (1).csv,3/25/2010,1:41:00,富山県西部,36°51.1'N,136°59.3'E,13,2.8,震度１
地震リスト (1).csv,3/25/2010,0:36:03,沖縄本島近海,26°20.1'N,127°42.6'E,16,2.7,震度１
地震リスト (1).csv,3/24/2010,10:50:21,長野県南部,35°48.7'N,137°42.3'E,6,2.6,震度２
地震リスト (1).csv,3/24/2010,0:46:58,日向灘,32°29.1'N,131°54.9'E,36,4.0,震度２
地震リスト (1).csv,3/23/2010,9:27:34,紀伊水道,33°50.2'N,134°57.8'E,13,3.1,震度１
地震リスト (1).csv,3/23/2010,6:46:15,択捉島付近,44°38.0'N,147°16.6'E,162,4.6,震度１
地震リスト (1).csv,3/23/2010,2:23:17,サハリン西方沖,46°55.8'N,141°49.4'E,28,4.9,震度１
地震リスト (1).csv,3/23/2010,0:10:19,千葉県北西部,35°31.1'N,140°14.1'E,51,3.4,震度１
地震リスト (1).csv,3/22/2010,12:21:59,宮城県北部,38°47.3'N,140°45.3'E,4,3.2,震度２
地震リスト (1).csv,3/22/2010,1:07:18,宮城県沖,38°01.6'N,141°14.1'E,69,3.1,震度１
地震リスト (1).csv,3/21/2010,19:57:18,新島・神津島近海,34°13.7'N,139°09.6'E,10,2.4,震度１
地震リスト (1).csv,3/21/2010,13:20:49,和歌山県北部,33°58.3'N,135°11.3'E,9,3.8,震度３
地震リスト (1).csv,3/21/2010,7:17:22,大分県西部,33°06.7'N,131°12.0'E,5,2.8,震度１
地震リスト (1).csv,3/21/2010,2:22:27,伊予灘,33°42.4'N,132°21.2'E,49,4.0,震度１
地震リスト (1).csv,3/21/2010,1:19:00,和歌山県北部,34°12.1'N,135°13.4'E,5,3.2,震度２
地震リスト (1).csv,3/21/2010,1:08:02,大分県西部,33°06.7'N,131°11.9'E,5,3.2,震度２
地震リスト (1).csv,3/20/2010,18:23:12,岐阜県飛騨地方,36°02.1'N,137°32.6'E,7,1.7,震度１
地震リスト (1).csv,3/19/2010,22:27:56,福島県沖,37°14.3'N,142°12.2'E,32,4.5,震度１
地震リスト (1).csv,3/19/2010,19:27:32,茨城県北部,36°38.9'N,140°23.9'E,72,3.8,震度３
地震リスト (1).csv,3/18/2010,22:52:48,新島・神津島近海,34°16.0'N,139°09.5'E,7,2.2,震度１
地震リスト (1).csv,3/18/2010,21:27:34,京都府南部,35°01.7'N,135°36.3'E,11,2.7,震度１
地震リスト (1).csv,3/18/2010,16:25:52,茨城県北部,36°49.1'N,140°44.5'E,91,3.6,震度１
地震リスト (1).csv,3/18/2010,14:45:16,トカラ列島近海,28°20.2'N,128°37.4'E,73,3.5,震度１
地震リスト (1).csv,3/18/2010,14:00:28,新島・神津島近海,34°15.5'N,139°10.1'E,8,2.4,震度１
地震リスト (1).csv,3/18/2010,13:55:39,新島・神津島近海,34°15.5'N,139°09.7'E,8,2.8,震度２
地震リスト (1).csv,3/18/2010,5:06:35,愛媛県南予,33°14.0'N,132°38.0'E,35,2.8,震度１
地震リスト (1).csv,3/17/2010,19:29:05,釧路地方中南部,43°04.5'N,145°00.8'E,61,4.1,震度２
地震リスト (1).csv,3/16/2010,12:39:01,宮古島近海,24°44.5'N,125°24.9'E,46,3.3,震度１
地震リスト (1).csv,3/16/2010,7:30:32,千葉県北西部,35°40.4'N,140°07.8'E,68,4.5,震度３
地震リスト (1).csv,3/15/2010,18:35:21,奄美大島北西沖,28°48.6'N,128°15.8'E,10,5.2,震度１
地震リスト (1).csv,3/14/2010,18:58:37,千葉県東方沖,35°48.4'N,141°07.6'E,34,3.7,震度１
地震リスト (1).csv,3/14/2010,17:52:49,福島県沖,37°42.7'N,141°49.8'E,38,3.8,震度１
地震リスト (1).csv,3/14/2010,17:08:04,福島県沖,37°43.4'N,141°49.0'E,40,6.7,震度５弱
地震リスト (1).csv,3/14/2010,16:04:13,八丈島東方沖,33°31.7'N,141°00.5'E,56,4.8,震度１
地震リスト (1).csv,3/14/2010,14:40:08,岩手県沖,39°52.0'N,142°35.6'E,35,3.9,震度１
地震リスト (1).csv,3/14/2010,12:17:17,新潟県下越沖,38°04.2'N,138°43.3'E,21,3.5,震度１
地震リスト (1).csv,3/14/2010,10:59:19,苫小牧沖,41°58.6'N,141°19.4'E,94,4.3,震度２
地震リスト (1).csv,3/14/2010,6:04:07,沖縄本島近海,27°22.8'N,128°50.9'E,34,3.1,震度１
地震リスト (1).csv,3/14/2010,2:24:08,愛知県東部,34°59.1'N,137°24.7'E,42,2.7,震度１
地震リスト (1).csv,3/14/2010,0:15:31,徳島県南部,33°47.9'N,134°16.3'E,34,3.3,震度２
地震リスト (1).csv,3/13/2010,21:46:27,福島県沖,37°36.8'N,141°28.3'E,78,5.5,震度４
地震リスト (1).csv,3/12/2010,23:12:06,高知県中部,33°38.5'N,133°10.1'E,36,3.7,震度２
地震リスト (1).csv,3/12/2010,16:08:38,茨城県南部,36°03.0'N,139°53.1'E,44,4.2,震度２
地震リスト (1).csv,3/12/2010,14:51:50,北海道東方沖,43°40.3'N,147°47.3'E,0,5.0,震度１
地震リスト (1).csv,3/12/2010,10:22:25,大阪府北部,34°57.2'N,135°26.4'E,11,2.9,震度１
地震リスト (1).csv,3/11/2010,4:21:22,岩手県沖,39°29.0'N,142°10.9'E,86,4.0,震度２
地震リスト (1).csv,3/11/2010,2:23:34,長野県中部,36°21.3'N,137°55.6'E,11,3.1,震度１
地震リスト (1).csv,3/11/2010,1:10:33,長野県中部,36°21.2'N,137°55.5'E,12,2.7,震度１
