Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,3/31/2001,21:23:29,群馬県北部,36°49.0'N,139°22.3'E,4,2.4,震度１
地震リスト (1).csv,3/31/2001,8:04:27,兵庫県南西部,34°59.6'N,134°33.4'E,8,2.4,震度１
地震リスト (1).csv,3/31/2001,7:15:33,栃木県北部,36°49.3'N,139°24.5'E,5,2.7,震度１
地震リスト (1).csv,3/31/2001,7:00:25,群馬県北部,36°49.2'N,139°22.1'E,5,3.2,震度２
地震リスト (1).csv,3/31/2001,6:17:16,群馬県北部,36°49.4'N,139°22.0'E,2,3.4,震度２
地震リスト (1).csv,3/31/2001,6:15:07,群馬県北部,36°49.2'N,139°22.0'E,5,2.6,震度１
地震リスト (1).csv,3/31/2001,6:12:02,群馬県北部,36°49.1'N,139°22.3'E,5,3.3,震度１
地震リスト (1).csv,3/31/2001,6:09:43,群馬県北部,36°49.2'N,139°22.5'E,5,5.2,震度４
地震リスト (1).csv,3/31/2001,4:25:53,群馬県北部,36°49.3'N,139°22.2'E,5,4.4,震度２
地震リスト (1).csv,3/31/2001,1:37:06,鳥取県西部,35°17.8'N,133°20.8'E,7,2,震度１
地震リスト (1).csv,3/30/2001,21:30:32,奄美大島近海,27°41.7'N,130°07.5'E,61,4.4,震度１
地震リスト (1).csv,3/30/2001,12:47:13,鳥取県西部,35°17.9'N,133°21.9'E,7,2.9,震度３
地震リスト (1).csv,3/30/2001,4:50:10,京都府南部,35°00.8'N,135°32.0'E,16,3.4,震度２
地震リスト (1).csv,3/29/2001,20:53:24,新島・神津島近海,34°18.8'N,139°07.9'E,1,1.7,震度１
地震リスト (1).csv,3/29/2001,17:28:03,三宅島近海,34°04.9'N,139°32.8'E,0,2.1,震度１
地震リスト (1).csv,3/29/2001,9:48:09,安芸灘,34°02.1'N,132°42.8'E,45,2.8,震度１
地震リスト (1).csv,3/29/2001,1:25:51,鳥取県西部,35°19.7'N,133°18.6'E,11,2.4,震度１
地震リスト (1).csv,3/28/2001,14:41:46,新島・神津島近海,34°18.6'N,139°08.4'E,6,1.9,震度１
地震リスト (1).csv,3/28/2001,7:28:29,鳥取県西部,35°13.2'N,133°25.3'E,4,2.4,震度２
地震リスト (1).csv,3/28/2001,6:15:37,安芸灘,34°02.4'N,132°43.6'E,46,3.6,震度１
