Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,12/31/1998,13:09:46,紀伊水道,34°08.7'N,135°03.4'E,11,2.8,震度１
地震リスト (1).csv,12/31/1998,12:30:50,紀伊水道,34°09.0'N,135°03.5'E,12,2.5,震度１
地震リスト (1).csv,12/31/1998,6:54:58,根室半島南東沖,43°09.2'N,145°34.8'E,52,3.5,震度１
地震リスト (1).csv,12/30/1998,23:54:59,伊予灘,33°41.0'N,131°56.2'E,75,3.7,震度２
地震リスト (1).csv,12/29/1998,4:01:13,鹿児島県薩摩地方,31°56.2'N,130°21.8'E,11,2.3,震度１
地震リスト (1).csv,12/28/1998,15:49:34,十勝地方南部,42°20.6'N,143°06.5'E,57,3.3,震度１
地震リスト (1).csv,12/28/1998,14:28:22,沖縄本島北西沖,27°03.8'N,127°15.8'E,96,4.9,震度２
地震リスト (1).csv,12/27/1998,21:17:27,和歌山県北部,34°01.1'N,135°15.4'E,8,2.7,震度１
地震リスト (1).csv,12/26/1998,22:05:25,薩摩半島西方沖,31°56.4'N,130°11.1'E,10,3.5,震度２
地震リスト (1).csv,12/26/1998,5:25:44,八丈島東方沖,33°37.0'N,140°18.2'E,49,3.8,震度１
地震リスト (1).csv,12/25/1998,19:39:02,福島県会津,37°24.1'N,139°26.8'E,8,4.1,震度３
地震リスト (1).csv,12/25/1998,12:00:48,長野県北部,36°56.5'N,138°27.6'E,13,2.7,震度１
地震リスト (1).csv,12/25/1998,4:08:32,日向灘,32°03.2'N,131°57.2'E,14,4.0,震度１
地震リスト (1).csv,12/24/1998,2:53:43,沖縄本島近海,27°23.7'N,128°57.8'E,33,3.4,震度１
地震リスト (1).csv,12/24/1998,2:26:07,岩手県内陸北部,39°45.5'N,140°57.0'E,0,1.8,震度１
地震リスト (1).csv,12/23/1998,17:35:28,宮崎県北部山沿い,32°39.8'N,131°24.0'E,80,3.6,震度１
地震リスト (1).csv,12/23/1998,17:25:27,山形県最上地方,38°44.9'N,140°15.9'E,13,2.6,震度１
地震リスト (1).csv,12/23/1998,15:05:50,山形県最上地方,38°45.0'N,140°15.9'E,13,3.3,震度２
地震リスト (1).csv,12/23/1998,11:00:49,宮城県中部,38°16.5'N,140°46.7'E,12,3.5,震度１
地震リスト (1).csv,12/23/1998,10:41:19,宮城県中部,38°16.6'N,140°46.5'E,12,3.1,震度１
