Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,1/31/1999,17:57:40,山形県村山地方,38°29.0'N,140°19.9'E,8,2.1,震度１
地震リスト (1).csv,1/31/1999,7:12:05,奄美大島北東沖,29°03.1'N,129°53.2'E,53,4.1,震度１
地震リスト (1).csv,1/30/1999,16:48:30,岩手県内陸南部,38°49.4'N,141°09.7'E,11,3.2,震度１
地震リスト (1).csv,1/30/1999,7:06:16,富山県東部,36°51.5'N,137°42.0'E,6,3.8,震度２
地震リスト (1).csv,1/30/1999,5:05:26,鹿児島県薩摩地方,31°50.8'N,130°18.1'E,7,1.7,震度１
地震リスト (1).csv,1/29/1999,9:49:10,鹿児島県薩摩地方,31°57.9'N,130°23.3'E,7,2.9,震度２
地震リスト (1).csv,1/28/1999,13:46:38,長野県中部,36°21.5'N,137°59.2'E,10,3.7,震度１
地震リスト (1).csv,1/28/1999,11:18:58,長野県中部,36°21.8'N,137°59.1'E,11,3.6,震度１
地震リスト (1).csv,1/28/1999,10:26:47,長野県中部,36°22.3'N,137°59.1'E,11,3.6,震度２
地震リスト (1).csv,1/28/1999,10:25:46,長野県中部,36°22.3'N,137°58.9'E,9,4.8,震度４
地震リスト (1).csv,1/27/1999,22:09:09,鳥取県西部,35°13.4'N,133°18.8'E,12,2.9,震度２
地震リスト (1).csv,1/27/1999,21:12:36,十勝地方南部,42°20.5'N,143°06.3'E,50,3.4,震度１
地震リスト (1).csv,1/27/1999,18:57:27,栃木県北部,36°52.1'N,139°30.4'E,7,3.6,震度２
地震リスト (1).csv,1/27/1999,10:27:37,伊豆大島近海,34°48.3'N,139°38.5'E,36,3.7,震度２
地震リスト (1).csv,1/27/1999,0:00:13,京都府南部,35°18.6'N,135°23.1'E,8,2.8,震度１
地震リスト (1).csv,1/26/1999,16:27:11,父島近海,28°08.0'N,142°11.2'E,34,5.1,震度１
地震リスト (1).csv,1/26/1999,5:25:23,釧路沖,42°55.0'N,144°15.8'E,75,3.6,震度１
地震リスト (1).csv,1/25/1999,19:56:52,和歌山県北部,34°02.7'N,135°12.3'E,7,2.3,震度１
地震リスト (1).csv,1/25/1999,5:03:13,日向灘,32°41.8'N,132°17.0'E,39,3.9,震度２
地震リスト (1).csv,1/25/1999,1:44:23,種子島近海,30°34.0'N,131°17.8'E,38,4.2,震度２
地震リスト (1).csv,1/24/1999,10:03:25,種子島近海,30°33.1'N,131°17.4'E,45,4.2,震度１
地震リスト (1).csv,1/24/1999,9:41:12,種子島近海,30°35.2'N,131°16.5'E,38,4.1,震度２
地震リスト (1).csv,1/24/1999,9:37:06,種子島近海,30°34.1'N,131°17.4'E,40,6.6,震度４
地震リスト (1).csv,1/24/1999,4:17:17,東海道南方沖,33°44.1'N,138°34.3'E,291,4.9,震度１
地震リスト (1).csv,1/24/1999,0:21:10,岐阜県美濃中西部,35°49.5'N,136°53.2'E,9,3.1,震度１
地震リスト (1).csv,1/23/1999,19:16:14,茨城県南部,36°11.6'N,140°01.8'E,52,2.8,震度１
地震リスト (1).csv,1/22/1999,23:44:17,宮古島近海,25°14.3'N,125°58.4'E,83,4.2,震度１
地震リスト (1).csv,1/22/1999,7:03:57,三陸沖,38°38.5'N,142°53.6'E,0,5.2,震度１
地震リスト (1).csv,1/22/1999,7:02:13,三陸沖,38°36.3'N,143°06.9'E,10,5.7,震度２
地震リスト (1).csv,1/21/1999,19:54:30,鹿児島県薩摩地方,31°58.0'N,130°29.5'E,7,2.4,震度２
地震リスト (1).csv,1/21/1999,7:26:21,大阪湾,34°36.3'N,135°02.4'E,16,3.5,震度１
地震リスト (1).csv,1/21/1999,5:55:08,岩手県沖,39°49.0'N,142°12.2'E,85,3.9,震度１
地震リスト (1).csv,1/20/1999,7:53:53,和歌山県北部,34°06.0'N,135°08.1'E,9,2.6,震度２
地震リスト (1).csv,1/19/1999,17:18:07,北海道南西沖,41°53.7'N,139°22.5'E,15,3.8,震度１
地震リスト (1).csv,1/19/1999,2:35:45,青森県東方沖,41°33.2'N,141°28.0'E,85,4.4,震度２
地震リスト (1).csv,1/17/1999,14:29:12,北海道東方沖,43°10.0'N,147°30.5'E,31,5.0,震度１
地震リスト (1).csv,1/16/1999,20:41:03,神奈川県東部,35°36.4'N,139°29.8'E,23,2.6,震度１
地震リスト (1).csv,1/16/1999,15:41:41,茨城県沖,36°40.3'N,141°24.6'E,39,4.5,震度２
地震リスト (1).csv,1/15/1999,20:14:51,小笠原諸島西方沖,27°49.6'N,139°25.8'E,541,5.6,震度１
地震リスト (1).csv,1/15/1999,9:18:22,奄美大島近海,28°24.6'N,129°42.5'E,53,4.0,震度２
地震リスト (1).csv,1/14/1999,13:47:21,茨城県沖,36°39.0'N,141°33.0'E,43,4.7,震度１
地震リスト (1).csv,1/13/1999,14:51:52,長野県北部,36°31.3'N,137°57.8'E,10,2.5,震度１
地震リスト (1).csv,1/13/1999,12:06:21,和歌山県北部,34°05.7'N,135°08.2'E,7,1.9,震度１
地震リスト (1).csv,1/12/1999,22:09:50,三陸沖,39°04.9'N,143°35.0'E,36,4.9,震度１
地震リスト (1).csv,1/12/1999,20:58:45,宮城県北部,38°52.8'N,141°00.7'E,10,2.9,震度２
地震リスト (1).csv,1/12/1999,11:32:29,小笠原諸島西方沖,26°51.3'N,140°41.6'E,469,6.0,震度２
地震リスト (1).csv,1/12/1999,2:09:23,鹿児島県薩摩地方,31°50.9'N,130°18.1'E,7,2.2,震度２
地震リスト (1).csv,1/12/1999,0:45:29,鹿児島県薩摩地方,31°51.1'N,130°18.1'E,7,3.5,震度３
地震リスト (1).csv,1/12/1999,0:31:31,鹿児島県薩摩地方,31°50.9'N,130°18.1'E,7,2.9,震度２
地震リスト (1).csv,1/11/1999,9:53:52,福島県沖,37°43.7'N,141°46.7'E,43,3.5,震度１
地震リスト (1).csv,1/11/1999,9:10:39,福井県嶺北,36°02.7'N,136°44.6'E,6,4.6,震度３
地震リスト (1).csv,1/11/1999,4:21:27,和歌山県北部,34°12.8'N,135°09.4'E,9,2.6,震度１
地震リスト (1).csv,1/10/1999,4:41:12,大分県中部,33°17.1'N,131°28.6'E,3,1.6,震度１
地震リスト (1).csv,1/9/1999,23:22:24,伊予灘,33°33.7'N,132°25.6'E,43,3.7,震度２
地震リスト (1).csv,1/9/1999,23:00:15,京都府南部,35°00.4'N,135°31.9'E,15,3.2,震度２
地震リスト (1).csv,1/9/1999,19:15:48,福島県沖,37°47.9'N,141°40.9'E,82,3.8,震度１
地震リスト (1).csv,1/9/1999,18:56:15,高知県中部,33°43.8'N,133°11.3'E,11,2.9,震度１
地震リスト (1).csv,1/9/1999,12:05:39,北海道東方沖,44°07.7'N,147°25.5'E,119,5.5,震度３
地震リスト (1).csv,1/8/1999,8:24:37,沖縄本島近海,26°15.2'N,126°35.7'E,72,4.4,震度２
