Source.Name,Date,Time,震央地名,Lat,Long,Depth,M,最大震度
地震リスト (1).csv,4/30/2006,14:12:34,伊豆半島東方沖,35°03.5'N,139°06.3'E,6,1.7,震度１
地震リスト (1).csv,4/30/2006,13:10:36,伊豆半島東方沖,35°04.4'N,139°06.4'E,6,4.5,震度５弱
地震リスト (1).csv,4/30/2006,11:42:58,伊豆半島東方沖,35°03.0'N,139°07.2'E,5,1.7,震度１
地震リスト (1).csv,4/29/2006,9:18:10,上川地方北部,43°59.1'N,142°18.8'E,8,2.6,震度１
地震リスト (1).csv,4/29/2006,3:16:18,和歌山県北部,34°14.1'N,135°24.2'E,8,2.4,震度１
地震リスト (1).csv,4/29/2006,0:37:28,釧路沖,42°59.3'N,145°25.0'E,47,4.3,震度２
地震リスト (1).csv,4/28/2006,13:05:28,福岡県北西沖,33°45.9'N,130°06.5'E,13,3.8,震度２
地震リスト (1).csv,4/27/2006,11:57:29,関東東方沖,34°29.8'N,141°14.6'E,48,4.3,震度１
地震リスト (1).csv,4/27/2006,5:33:35,宮古島近海,24°44.5'N,125°16.5'E,49,3.3,震度１
地震リスト (1).csv,4/27/2006,4:53:24,岩手県沿岸北部,39°26.8'N,141°55.6'E,93,3.7,震度１
地震リスト (1).csv,4/26/2006,23:10:37,浦河沖,42°01.9'N,142°35.6'E,61,4.6,震度３
地震リスト (1).csv,4/26/2006,14:55:55,浦河沖,41°56.2'N,142°19.2'E,70,4.5,震度２
地震リスト (1).csv,4/26/2006,4:30:29,伊豆半島東方沖,34°51.6'N,139°10.8'E,3,2.4,震度１
地震リスト (1).csv,4/26/2006,2:47:45,新潟県中越地方,37°22.3'N,138°51.6'E,11,2.8,震度１
地震リスト (1).csv,4/26/2006,2:24:26,京都府南部,35°06.0'N,135°44.3'E,9,2.4,震度１
地震リスト (1).csv,4/25/2006,20:05:27,新潟県中越地方,37°22.0'N,138°52.1'E,11,2.7,震度１
地震リスト (1).csv,4/25/2006,12:16:29,山梨県中・西部,35°16.7'N,138°29.3'E,17,3.2,震度２
地震リスト (1).csv,4/25/2006,11:19:10,伊豆半島東方沖,34°51.7'N,139°10.8'E,3,2.1,震度１
地震リスト (1).csv,4/25/2006,8:44:24,新潟県中越地方,37°22.0'N,138°51.9'E,11,2.5,震度１
地震リスト (1).csv,4/25/2006,8:19:26,新潟県中越地方,37°22.0'N,138°52.1'E,12,2.6,震度１
地震リスト (1).csv,4/25/2006,8:18:22,新潟県中越地方,37°22.0'N,138°52.0'E,12,3.6,震度３
地震リスト (1).csv,4/25/2006,5:39:00,伊豆半島東方沖,35°01.6'N,139°08.7'E,5,2.3,震度１
地震リスト (1).csv,4/24/2006,21:19:28,豊後水道,33°20.8'N,132°21.4'E,43,3.7,震度２
地震リスト (1).csv,4/24/2006,13:28:14,新潟県下越地方,38°17.3'N,139°49.5'E,154,4.8,震度２
地震リスト (1).csv,4/24/2006,11:30:48,伊豆半島東方沖,34°56.6'N,139°11.9'E,7,3.3,震度１
地震リスト (1).csv,4/24/2006,10:03:29,宮城県沖,38°51.0'N,141°36.4'E,72,3.2,震度１
地震リスト (1).csv,4/24/2006,2:30:09,浦河沖,41°54.3'N,142°19.1'E,68,3.6,震度１
地震リスト (1).csv,4/23/2006,23:50:25,千葉県南部,35°21.1'N,140°02.9'E,69,3.8,震度２
地震リスト (1).csv,4/23/2006,15:59:14,和歌山県北部,34°11.6'N,135°24.0'E,7,2.7,震度１
地震リスト (1).csv,4/23/2006,8:38:37,伊豆半島東方沖,34°56.6'N,139°11.1'E,10,2.7,震度１
地震リスト (1).csv,4/23/2006,6:45:03,伊豆半島東方沖,34°53.7'N,139°11.7'E,5,3.4,震度１
地震リスト (1).csv,4/23/2006,4:03:58,三宅島近海,34°05.9'N,139°32.7'E,2,2.1,震度１
地震リスト (1).csv,4/23/2006,3:09:44,茨城県南部,35°52.1'N,140°15.0'E,55,4.1,震度２
地震リスト (1).csv,4/22/2006,23:35:59,宮城県沖,38°42.1'N,141°49.2'E,66,4.6,震度４
地震リスト (1).csv,4/22/2006,18:02:42,奄美大島近海,28°14.0'N,130°18.4'E,46,3.7,震度１
地震リスト (1).csv,4/22/2006,14:24:08,伊豆半島東方沖,34°52.9'N,139°12.8'E,3,2.3,震度１
地震リスト (1).csv,4/22/2006,13:20:29,伊豆半島東方沖,34°53.1'N,139°12.7'E,4,3.2,震度１
地震リスト (1).csv,4/22/2006,9:05:44,伊豆半島東方沖,34°53.8'N,139°12.0'E,4,3.4,震度２
地震リスト (1).csv,4/22/2006,6:03:24,伊豆半島東方沖,34°56.6'N,139°11.7'E,9,4.2,震度３
地震リスト (1).csv,4/22/2006,5:33:49,長野県南部,35°50.6'N,137°44.0'E,8,2.0,震度１
地震リスト (1).csv,4/22/2006,2:24:55,豊後水道,33°13.1'N,132°16.3'E,40,4.0,震度３
地震リスト (1).csv,4/22/2006,1:57:27,伊豆半島東方沖,34°52.7'N,139°13.2'E,2,2.8,震度１
地震リスト (1).csv,4/22/2006,1:44:25,伊豆半島東方沖,34°53.3'N,139°12.1'E,1,4.8,震度３
地震リスト (1).csv,4/22/2006,1:21:51,岐阜県美濃中西部,35°23.4'N,136°43.6'E,8,3.0,震度２
地震リスト (1).csv,4/22/2006,0:47:34,伊豆半島東方沖,34°56.7'N,139°11.7'E,10,3.0,震度１
地震リスト (1).csv,4/21/2006,23:17:37,伊豆半島東方沖,34°56.4'N,139°12.0'E,9,4.5,震度３
地震リスト (1).csv,4/21/2006,22:43:26,伊豆半島東方沖,34°56.6'N,139°11.1'E,9,3.5,震度２
地震リスト (1).csv,4/21/2006,21:35:19,伊豆半島東方沖,34°53.3'N,139°12.0'E,7,3.0,震度２
地震リスト (1).csv,4/21/2006,8:07:20,伊豆半島東方沖,34°53.6'N,139°12.2'E,4,2.7,震度１
地震リスト (1).csv,4/21/2006,7:08:13,伊豆半島東方沖,34°56.8'N,139°11.5'E,6,4.0,震度２
地震リスト (1).csv,4/21/2006,3:20:21,伊豆半島東方沖,34°56.9'N,139°11.7'E,8,4.5,震度３
地震リスト (1).csv,4/21/2006,3:17:22,伊豆半島東方沖,34°57.1'N,139°11.3'E,7,2.5,震度１
地震リスト (1).csv,4/21/2006,3:10:16,伊豆半島東方沖,34°57.0'N,139°11.4'E,9,2.9,震度１
地震リスト (1).csv,4/21/2006,3:06:02,伊豆半島東方沖,34°56.8'N,139°11.2'E,8,3.7,震度２
地震リスト (1).csv,4/21/2006,2:56:41,伊豆半島東方沖,34°57.0'N,139°11.0'E,9,2.7,震度１
地震リスト (1).csv,4/21/2006,2:55:08,伊豆半島東方沖,34°56.9'N,139°11.2'E,8,2.5,震度１
地震リスト (1).csv,4/21/2006,2:50:39,伊豆半島東方沖,34°56.4'N,139°11.7'E,7,5.8,震度４
地震リスト (1).csv,4/20/2006,19:11:49,新潟県上越地方,37°07.7'N,138°25.9'E,19,2.3,震度１
地震リスト (1).csv,4/20/2006,19:05:40,伊豆半島東方沖,34°57.2'N,139°09.9'E,9,2.9,震度１
地震リスト (1).csv,4/20/2006,19:04:24,伊豆半島東方沖,34°57.2'N,139°10.1'E,8,2.6,震度１
地震リスト (1).csv,4/20/2006,18:49:45,伊豆半島東方沖,34°57.2'N,139°10.1'E,8,3.4,震度２
地震リスト (1).csv,4/20/2006,18:48:48,奄美大島近海,28°51.0'N,129°52.7'E,32,4.3,震度１
地震リスト (1).csv,4/20/2006,12:40:21,茨城県南部,36°13.8'N,139°46.8'E,58,4.3,震度３
地震リスト (1).csv,4/20/2006,7:42:47,伊豆半島東方沖,34°56.8'N,139°10.5'E,11,3.0,震度１
地震リスト (1).csv,4/20/2006,2:05:45,伊豆半島東方沖,34°52.9'N,139°09.4'E,10,2.8,震度１
地震リスト (1).csv,4/19/2006,15:53:28,石川県能登地方,37°24.5'N,136°54.8'E,12,3.2,震度１
